# Traditional → Simplified Chinese codepoint mapping
# Generated by build_trad_simp_mapping.py from Unihan_Variants.txt
# Format: TRAD_HEX<TAB>SIMP_HEX
0x5713	0x5706
0x5716	0x56FE
0x5718	0x56E2
0x571E	0x2A8AE
0x5742	0x5742
0x574F	0x574F
0x5757	0x5757
0x575B	0x575B
0x57B5	0x57EF
0x57B7	0x3025A
0x57BB	0x575D
0x57C9	0x30265
0x57E1	0x57AD
0x57E8	0x2BB62
0x57EC	0x2A8C6
0x57F0	0x91C7
0x57F7	0x6267
0x5805	0x575A
0x5808	0x30259
0x580A	0x57A9
0x5815	0x5815
0x5816	0x57B4
0x581A	0x2A8D2
0x581D	0x57DA
0x582F	0x5C27
0x5831	0x62A5
0x5834	0x573A
0x584A	0x5757
0x584B	0x8314
0x584F	0x57B2
0x5852	0x57D8
0x5857	0x6D82
0x5862	0x575E
0x5864	0x57D9
0x5875	0x5C18
0x5878	0x2BB5F
0x5879	0x5811
0x587C	0x2BB5E
0x587F	0x2A8FB
0x5886	0x30282
0x588A	0x57AB
0x588B	0x2BB85
0x588F	0x30288
0x589C	0x5760
0x589D	0x2BB6A
0x58A0	0x2BB83
0x58A2	0x2BB68
0x58A7	0x30269
0x58AE	0x5815
0x58B3	0x575F
0x58B6	0x57AF
0x58B7	0x3026A
0x58BB	0x5899
0x58BE	0x57A6
0x58BF	0x30263
0x58C7	0x575B
0x58C8	0x21484
0x58CB	0x57B1
0x58CD	0x302A2
0x58CF	0x30291
0x58D0	0x21291
0x58D2	0x2D3E6
0x58D3	0x538B
0x58D4	0x2D39C
0x58D7	0x212E4
0x58D8	0x5792
0x58D9	0x5739
0x58DA	0x5786
0x58DB	0x302A1
0x58DD	0x2D3F8
0x58DE	0x574F
0x58DF	0x5784
0x58E0	0x5785
0x58E2	0x575C
0x58E3	0x2A91A
0x58E7	0x2BB72
0x58E9	0x575D
0x58EA	0x5846
0x58EE	0x58EE
0x58EF	0x58EE
0x58F0	0x58F0
0x58F3	0x58F3
0x58FA	0x58F6
0x58FC	0x58F8
0x58FD	0x5BFF
0x590D	0x590D
0x591F	0x591F
